UNQID,TYVAL,TXVAL,COLID,TXDES,MODTY,ISDBL,ISEDT,ISADD,ISEMP,ISSFT,ISMGR,ISDEL,CRTBY,CRTDT,CRTTM,CHNBY,CHNDT,CHNTM,INCTY
203,Potential Near Miss,Personal Injury / Illness,1,Potential Near Miss,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,13:18:32,DB_SLS1128,11.03.2025,10:33:09,
204,Potential Near Miss,Environmental,2,Potential Near Miss,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,13:18:32,DB_SLS1128,11.03.2025,10:33:09,
205,Potential Near Miss,Fire / Explosion,3,Potential Near Miss,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,13:18:32,DB_SLS1128,11.03.2025,10:33:09,
206,Potential Near Miss,Property Damage,4,Potential Near Miss,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,13:18:32,DB_SLS1128,11.03.2025,10:33:09,
207,Type Of Occurrence,Physical,1,Type Of Occurrence,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:25:04,
208,Type Of Occurrence,Psychological,2,Type Of Occurrence,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:25:04,
209,Type Of Occurrence,Verbal,3,Type Of Occurrence,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:25:04,
210,Physical,Aggression,1,Type Of Occurrence Physical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:30:51,
211,Physical,Armed Robbery,2,Type Of Occurrence Physical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:30:51,
212,Physical,Assault,3,Type Of Occurrence Physical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:30:51,
213,Physical,Attempted Assault,4,Type Of Occurrence Physical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:30:51,
214,Physical,Domestic Violence Physical,5,Type Of Occurrence Physical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:30:51,
215,Physical,Groping/Slapping/Grabbing,6,Type Of Occurrence Physical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:30:51,
216,Physical,Other,7,Type Of Occurrence Physical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:30:51,
217,Physical,Property Damage,8,Type Of Occurrence Physical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:30:51,
218,Physical,Robbery,9,Type Of Occurrence Physical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:30:51,
219,Physical,Sexual assault,10,Type Of Occurrence Physical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:30:51,
220,Physical,Shoving/pushing,11,Type Of Occurrence Physical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:30:51,
221,Physical,Unwanted touching,12,Type Of Occurrence Physical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:30:51,
222,Psychological,Abusive Language,1,Type Of Occurrence Psychlogical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:28:23,
223,Psychological,Bullying/ Harassment,2,Type Of Occurrence Psychlogical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:28:23,
224,Psychological,Indecent Exposure,3,Type Of Occurrence Psychlogical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:28:23,
225,Psychological,Cyberbullying,4,Type Of Occurrence Psychlogical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:28:23,
226,Psychological,Domestic Violence Physical,5,Type Of Occurrence Psychlogical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:28:23,
227,Psychological,Other,6,Type Of Occurrence Psychlogical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:28:23,
228,Psychological,Road Rage,7,Type Of Occurrence Psychlogical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:28:23,
229,Psychological,Stalking,8,Type Of Occurrence Psychlogical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:28:23,
230,Psychological,Witness,9,Type Of Occurrence Psychlogical,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:28:23,
231,Verbal,Abusive language,1,Type Of Occurrence Verbal,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:29:12,
232,Verbal,Gossiping,2,Type Of Occurrence Verbal,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:29:12,
233,Verbal,Name calling,3,Type Of Occurrence Verbal,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:29:12,
234,Verbal,Other,4,Type Of Occurrence Verbal,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:29:12,
235,Verbal,"Threats (verbal, written, in person)",5,Type Of Occurrence Verbal,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:29:12,
236,Verbal,Yelling/Shouting,6,Type Of Occurrence Verbal,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,14:04:34,DB_SLS1128,11.03.2025,13:29:12,
237,Potential Near Miss,Motor Vehicle Incident,5,Potential Near Miss,Incident,0,1,1,,,,0,DB_SLS1128,04.08.2023,06:24:45,DB_SLS1128,11.03.2025,10:33:09,
238,Potential Near Miss,Workplace Harassment and Violence,6,Potential Near Miss,Incident,0,1,1,,,,0,DB_SLS1128,04.08.2023,06:26:01,DB_SLS1128,11.03.2025,10:33:09,
239,Potential Near Miss,Ergonomics and Manual Forces,7,Potential Near Miss,Incident,0,1,1,,,,0,DB_SLS1128,04.08.2023,06:26:01,DB_SLS1128,11.03.2025,10:33:09,
240,Potential Near Miss,Exposure to Hazardous Material,8,Potential Near Miss,Incident,0,1,1,,,,0,DB_SLS1128,04.08.2023,06:26:01,DB_SLS1128,11.03.2025,10:33:09,
241,Unit Of Measurement,Kilograms,1,Type Of Occurrence Verbal,Incident,0,1,1,,,,0,DB_SLS1128,04.08.2023,13:11:45,DB_SLS1128,11.03.2025,14:37:16,
242,Unit Of Measurement,Kilopascals (kPa),2,Type Of Occurrence Verbal,Incident,0,1,1,,,,0,DB_SLS1128,04.08.2023,13:11:45,DB_SLS1128,11.03.2025,14:37:16,
243,Unit Of Measurement,"Megajoules (MJ),",3,Type Of Occurrence Verbal,Incident,0,1,1,,,,0,DB_SLS1128,04.08.2023,13:11:45,DB_SLS1128,11.03.2025,14:37:16,
244,Unit Of Measurement,Tonnes ,4,Type Of Occurrence Verbal,Incident,0,1,1,,,,0,DB_SLS1128,04.08.2023,13:11:45,DB_SLS1128,11.03.2025,14:37:16,
245,Unit Of Measurement,Cubic meter(m3),5,Type Of Occurrence Verbal,Incident,0,1,1,,,,0,DB_SLS1128,04.08.2023,13:11:45,DB_SLS1128,11.03.2025,14:37:16,
246,Unit Of Measurement,Cubic feet(ft3),6,Type Of Occurrence Verbal,Incident,0,1,1,,,,0,DB_SLS1128,04.08.2023,13:11:45,DB_SLS1128,11.03.2025,14:37:16,
247,Unit Of Measurement,Litres,7,Type Of Occurrence Verbal,Incident,0,1,1,,,,0,DB_SLS1128,04.08.2023,13:11:45,DB_SLS1128,11.03.2025,14:37:16,
248,Human Rights,Age,1,Human Rights,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:22:36,DB_SLS1128,11.03.2025,13:29:48,
249,Human Rights,Colour,2,Human Rights,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:22:36,DB_SLS1128,11.03.2025,13:29:48,
250,Human Rights,Family status,3,Human Rights,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:22:36,DB_SLS1128,11.03.2025,13:29:48,
251,Human Rights,Genetic characteristics,4,Human Rights,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:22:36,DB_SLS1128,11.03.2025,13:29:48,
252,Human Rights,Gender identity or expression,5,Human Rights,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:22:36,DB_SLS1128,11.03.2025,13:29:48,
253,Human Rights,Martial status,6,Human Rights,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:22:36,DB_SLS1128,11.03.2025,13:29:48,
254,Human Rights,National or ethnic origin,7,Human Rights,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:22:36,DB_SLS1128,11.03.2025,13:29:48,
255,Human Rights,Pardoned criminal conviction,8,Human Rights,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:22:36,DB_SLS1128,11.03.2025,13:29:48,
256,Human Rights,Physical or mental disability,9,Human Rights,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:22:36,DB_SLS1128,11.03.2025,13:29:48,
257,Human Rights,Race,10,Human Rights,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:22:36,DB_SLS1128,11.03.2025,13:29:48,
258,Human Rights,Religion,11,Human Rights,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:22:36,DB_SLS1128,11.03.2025,13:29:48,
259,Human Rights,Sex,12,Human Rights,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:22:36,DB_SLS1128,11.03.2025,13:29:48,
260,Human Rights,Sexual orientation,13,Human Rights,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:22:36,DB_SLS1128,11.03.2025,13:29:48,
261,Immediate Actions,CIRT Call,1,Immediate Actions,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:24:57,DB_SLS1128,11.03.2025,13:30:30,
262,Immediate Actions,Emergency suspension,2,Immediate Actions,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:24:57,DB_SLS1128,11.03.2025,13:30:30,
263,Immediate Actions,No immediate actions required,3,Immediate Actions,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:24:57,DB_SLS1128,11.03.2025,13:30:30,
264,Immediate Actions,Other,4,Immediate Actions,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:24:57,DB_SLS1128,11.03.2025,13:30:30,
265,Immediate Actions,Separation of parties in the workplace,5,Immediate Actions,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:24:57,DB_SLS1128,11.03.2025,13:30:30,
266,Immediate Actions,Suspension of customer service,6,Immediate Actions,Incident,0,1,1,,,,0,DB_SLS1209,04.08.2023,13:24:57,DB_SLS1128,11.03.2025,13:30:30,
267,Side,Left,1,Side,Incident,1,1,1,,,,0,DB_SLS1128,04.08.2023,15:09:31,,,,
268,Side,Right,2,Side,Incident,1,1,1,,,,0,DB_SLS1128,04.08.2023,15:09:31,,,,
269,Side,Front,3,Side,Incident,1,1,1,,,,0,DB_SLS1128,04.08.2023,15:09:31,,,,
270,Side,Back ,4,Side,Incident,1,1,1,,,,0,DB_SLS1128,04.08.2023,15:09:31,,,,
271,Incident Probability,Probable,1,Incident Probability,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,06:09:36,S0025245782,04.07.2024,07:31:55,
272,Incident Probability,Reasonably Probable,2,Incident Probability,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,06:09:36,S0025245782,04.07.2024,07:31:55,
273,Incident Probability,Remote,3,Incident Probability,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,06:09:36,S0025245782,04.07.2024,07:31:55,
274,Incident Probability,Extremely Remote,4,Incident Probability,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,06:09:36,S0025245782,04.07.2024,07:31:55,
275,Incident Severity,Catastrophic,1,Incident Severity,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,06:09:36,DB_SLS1128,11.03.2025,10:15:31,
276,Incident Severity,Critical,2,Incident Severity,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,06:09:36,DB_SLS1128,11.03.2025,10:15:31,
277,Incident Severity,Marginal,3,Incident Severity,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,06:09:36,DB_SLS1128,11.03.2025,10:15:31,
278,Incident Severity,Negligible,4,Incident Severity,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,06:09:36,DB_SLS1128,11.03.2025,10:15:31,
279,Incident Location,Project Site,1,Incident Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,06:09:36,DB_SLS1128,11.03.2025,10:08:49,
280,Incident Location,Office,2,Incident Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,06:09:36,DB_SLS1128,11.03.2025,10:08:49,
281,Incident Location,Other,3,Incident Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,06:09:36,DB_SLS1128,11.03.2025,10:08:49,
282,Country Location,India,1,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
283,Country Location,Canada,2,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
284,Country Location,Japan,3,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
285,Country Location,Germany,4,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
286,Country Location,United States of America,5,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
287,Country Location,Afghanistan,6,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
288,Country Location,Albania,7,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
289,Country Location,Algeria,8,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
290,Country Location,American Samoa (US),9,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
291,Country Location,Andorra,10,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
292,Country Location,Angola,11,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
293,Country Location,Anguilla (UK),12,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
294,Country Location,Antigua and Barbuda,13,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
295,Country Location,Argentina,14,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
296,Country Location,Armenia,15,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
297,Country Location,Aruba (Neth.),16,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
298,Country Location,Ashmore and Cartier Islands,17,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
299,Country Location,Australia,18,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
300,Country Location,Austria,19,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
301,Country Location,Azerbaijan,20,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
302,Country Location,"Bahamas, The",21,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
303,Country Location,Bahrain,22,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
304,Country Location,Bangladesh,23,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
305,Country Location,Barbados,24,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
306,Country Location,Belarus,25,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
307,Country Location,Belgium,26,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
308,Country Location,Belize,27,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
309,Country Location,Benin,28,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
310,Country Location,Bermuda (UK),29,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
311,Country Location,Bhutan,30,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
312,Country Location,Bolivia,31,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
313,Country Location,Bosnia and Herzegovina,32,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
314,Country Location,Botswana,33,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
315,Country Location,Brazil,34,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
316,Country Location,British Indian Ocean Territory (UK),35,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
317,Country Location,British Virgin Islands (UK),36,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
318,Country Location,Brunei Darussalam,37,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
319,Country Location,Bulgaria,38,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
320,Country Location,Burkina Faso,39,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
321,Country Location,Burundi,40,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
322,Country Location,Cabo Verde,41,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
323,Country Location,Cambodia,42,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
324,Country Location,Cameroon,43,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
325,Country Location,Cayman Islands (UK),44,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
326,Country Location,Central African Republic,45,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
327,Country Location,Chad,46,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
328,Country Location,Chile,47,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
329,Country Location,China,48,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
330,Country Location,Christmas Island (Aus.),49,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
331,Country Location,Cocos (Keeling) Islands (Aus.),50,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
332,Country Location,Colombia,51,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
333,Country Location,Comoros,52,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
334,Country Location,"Congo, Democratic Republic of",53,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
335,Country Location,"Congo, Rep. of",54,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
336,Country Location,Cook Islands (NZ),55,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
337,Country Location,Costa Rica,56,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
338,Country Location,Côte d'Ivoire,57,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
339,Country Location,Croatia,58,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
340,Country Location,Cuba,59,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
341,Country Location,Curaçao (Neth.),60,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
342,Country Location,Cyprus,61,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
343,Country Location,Czech Republic,62,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
344,Country Location,Denmark,63,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
345,Country Location,Djibouti,64,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
346,Country Location,Dominica,65,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
347,Country Location,Dominican Republic,66,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
348,Country Location,Ecuador,67,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
349,Country Location,"Egypt, Arab Republic of",68,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
350,Country Location,El Salvador,69,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
351,Country Location,Equatorial Guinea,70,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
352,Country Location,Eritrea,71,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
353,Country Location,Estonia,72,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
354,Country Location,Eswatini,73,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
355,Country Location,Ethiopia,74,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
356,Country Location,Faroe Islands (Den.),75,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
357,Country Location,Fiji,76,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
358,Country Location,Finland,77,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
359,Country Location,France,78,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
360,Country Location,French Polynesia (Fr.),79,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
361,Country Location,French Southern and Antarctic Lands (Fr.),80,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
362,Country Location,Gabon,81,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
363,Country Location,"Gambia, The",82,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
364,Country Location,Georgia,83,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
365,Country Location,Ghana,84,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
366,Country Location,Greece,85,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
367,Country Location,Greenland (Den.),86,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
